"Date Made Public","Name","Entity","Type","Street Address","Location",", ","Postal Code","Total Records","Records Breached","","","","","Attached files","","All terms"
"November 11, 2011","Virginia Commonwealth University","EDU","HACK","","Richmond","Virginia","","176,567","176,567","Those with questions may call (855) 886-2931 or email responseteam@vcu.edu.","Hackers were able to access a Virginia Commonwealth University (VCU) computer server.  It contained files with the personal information of current and former VCU and VCU Health System faculty, staff, students and affiliates.  Suspicious files were discovered on the server on October 24.  It was taken offline and subsequent investigation revealed that two unauthorized accounts had been created on a second server.  While the first server did not contain personal data, the second server did and had been compromised through the first server.  Data included either a name or eID, Social Security number, and in some cases, date of birth, contact information, and various programmatic or departmental information.  ","","Databreaches.net","","176567","2011"
"November 10, 2011","Wakulla County School Board","EDU","DISC","","Crawfordville","Florida","","2,400","2,400","","The information of 2,400 students in grades four through ten was accidentally posted online.  A parent discovered the breach after searching their child's name.  The student's FCAT scores and Social Security number appeared on a public site.  The cause of the unintended disclosure was not reported.","","Databreaches.net","","2400","2011"
"November 10, 2011","Steam (The Valve Corporation)","BSR","HACK","","Bellevue","Washington","","35,000,000","35 million","","The November 6 defacement of Steam forums led to an investigation that revealed hackers had accessed a Steam database with sensitive user information. The database contained user names, hashed and salted passwords, game purchases, email addresses, billing addresses, and encrypted credit card information.  Users were prompted to change their Steam forum passwords and encouraged to change their Steam account passwords.  Anyone using their Steam forum password for other websites should change their password since hackers could have obtained email address and password combinations. Steam is the Valve Corporation's social-distribution network.  People who use the company's online gaming content were affected.UPDATE (11/16/2012): A judge dismissed a class action lawsuit related to the November 6, 2011 breach.  The plaintiffs of the lawsuit used Steam to purchase and access online gaming content. They alleged present and future harm as a result of the breach.  According to the judge who dismissed the lawsuit, the plaintiffs did not prove that they were harmed by the Steam breach.","","Databreaches.net","","35000000","2011"
"November 9, 2011","ValueOptions, National Elevator Industry","BSO","PORT","","Newtown Square","Pennsylvania","","7,019","7,019","","On July 6, 2011, four tape cartridges with sensitive information were shipped in a container from VOI.  The container was placed into a cardboard shipping box and shipped.  ValueOptions Inc. (VOI) was informed that the package had not arrive as of August 1. An outside agency investigated the loss of the packages until September 22.  Notification that the tapes had been lost was sent on November 4.  The tapes contained names, addresses, phone numbers, dates of birth, Social Security numbers, and plan subscriber ID numbers. VOI processes the benefits information for National elevator Industry's Health Benefit Plan, as well as other organizations.  A total of 350 New Hampshire residents were affected by the breach and 6,669 New York residents were affected as well.  The total number of people affected from different organizations and across the United States was not reported.","","Databreaches.net","","7019","2011"
"November 9, 2011","Habitat for Humanity Delaware County ReStore","NGO","HACK","","Delaware","Ohio","","444","444","","A number of identity thefts were linked to Habitat for Humanity of Delaware County ReStore.  An investigation revealed that hackers had accessed the store's computer system and took customer names and credit card numbers.  Detectives believe there are other sources of identity theft that have yet to be identified. The date of the access was not reported, but as many as 444 customers could have had their information taken.","","Databreaches.net","","444","2011"
"January 30, 2012","University of Miami Miller School of Medicine","MED","PORT","","Miami","Florida","","","1,219 (No SSNs or financial information reported)","Patients with questions may call (855) 540-4773.","A briefcase containing an unencrypted flash drive was stolen from the vehicle of a University of Miami Miller School of Medicine pathologist on November 24, 2011.  It contained the names, medical record numbers, ages, sexes, diagnosis information, and treatment information of patients who had specimens reviewed by the department of pathology between 2005 and 2011.  ","","PHIPrivacy.net","","","2012"
"January 30, 2012","Lexington Clinic","MED","PORT","","Lexington","Kentucky","","","1,018 (No SSNs or financial information reported)","Concerned patients may call 1-877-851-2562 or (859)-258-5888 locally.","A December 7 overnight office burglary resulted in the theft of a laptop with patient data. It contained names, contact information, and diagnoses of patients receiving services within the neurology department.  The locks to the neurology department were changed after the theft was discovered.  ","","PHIPrivacy.net","","","2012"
"January 28, 2012","Oldendorf Medical Services","MED","PORT","","Albany","New York","","","640 (Unknown number of SSNs)","","An office burglary on or around January 18 resulted in the theft of two laptops.  The laptops contained the records of about 640 patients and had been used for cardiac tests. Though the laptops contained minimal clinical data, they did contain some Social Security numbers and demographic information.","","PHIPrivacy.net","","","2012"
"January 27, 2012","Preferred Skin Solutions","MED","PORT","","Tulsa","Oklahoma","","","400 (No SSNs or financial information reported)","","An office burglary that occurred on or around January 24 resulted in the loss of a laptop. The laptop held client records.  The company sent a breach notification through Facebook and email.  No financial information was on the laptop, but Preferred Skin Solutions still warned their clients about the risk of identity theft.","","PHIPrivacy.net","","","2012"
"January 24, 2012","Metropolitan Life Insurance Company (MetLife) of Connecticut","BSF","DISC","","Bloomfield","Connecticut","","","Unknown","","in November of 2009, a customer discovered that spreadsheet with current and former MetLife customer information had been posted online.  MetLife corrected the problem after being notified by the customer and provided two years of credit monitoring and identity theft insurance to customers who had been affected by the breach.  The type of information exposed in the spreadsheet and the length of time it was available online were not revealed.  Additional negotiations with Attorney General George Jepsen and Consumer Protection Commissioner William Rubenstein resulted in an agreement for MetLife to offer additional protection.  MetLife paid an additional $10,000 for a special fund that will reimburse the state of Connecticut's investigative and enforcement costs, or reimburse losses for consumers in the future. Additionally, customers who paid for a security freeze to be lifted or placed will be eligible for reimbursement and Metlife agreed to improve employee personal information protection training policies and procedures.","","Databreaches.net","","","2012"
"February 2, 2012","Metro Community Provider Network","MED","HACK","","Denver","Colorado","","","2,000 (No SSNs or financial information reported)","","Hackers were able to access patient names, phone numbers, dates of birth, Metro Community Provider Network internal account numbers, and medical conditions through phishing emails sent to several Metro Community Provider Network employees.  Employees received an email that appeared to be from a trusted source and contained a link.  Multiple employees clicked the link, which then asked for their email login information.  The breach was detected on the same day that it occurred, December 5th, 2011.  ","","PHIPrivacy.net","","","2012"
"February 3, 2012","Salt Like City Police Department","GOV","HACK","","Salt Lake City","Utah","","","1,073 (No SSNs or financial information reported)","","Hackers obtained police officer and non-police related civilian information from the Salt Lake City Police Department.  The attack was in response to a proposed Utah bill that would have criminalized the possession of graffiti tools with the intent to deface property.  The hackers did release the names, phone numbers, usernames, titles, email addresses, and hashed passwords of over 1,000 police officers.  The information of civilians was never released and the hackers eventually deleted their copies.  The never released data was from people who had provided crime tips or other information to the Salt Lake City Police Department.UPDATE (06/12/2013): A member of Anonymous was charged in 2012 for using SQL injections on multiple law enforcement and public agency websites.  He agreed to a plea bargain in April and will serve 36 months in prison for violating a section of federal law addressing computer fraud.  He will also pay nearly $230,000 in restitution to a number of agencies that were hacked.","","Databreaches.net","","","2012"
"February 3, 2012","Security Savings Systems, Inc.","BSO","DISC","","New Cumberland","Pennsylvania","","2,038","2,038","","A printing error caused thousands of taxpayers to receive 1099-G forms from 2011 with the Social Security number and tax refund of another taxpayer.  The mistake occurred because the company was trying to conserve paper.  The forms were supposed to be cut below a certain point, but the bottom half remained attached.  ","","Databreaches.net","","2038","2012"
"February 2, 2012","Flores Mexican Restaurant","BSR","HACK","","Lakeway","Texas","","50","50","","Over 50 people who ate at Flores' were victims of fraudulent credit card activity.  The damages total nearly $50,000.  Hackers used a computer virus to infiltrate Flores' credit card system in December.  The owner noticed a drop in business of 15 percent after the breach was disclosed.","","Databreaches.net","","50","2012"
"February 2, 2012","Staples (Staples Business Depot)","BSR","INSD","","Mamaroneck","New York","","50","50","","A Staples cashier is accused of using a skimming device to obtain the credit card information of customers.  She is also accused of selling the numbers to another party. A total of $181,000 in fraudulent credit card purchases resulted from the breach. The dishonest employee faces two felonies for criminal possession of a forgery device and first-degree scheme to defraud.  She also faces 50 counts of unlawful possession of personal identification and 50 counts of petite larceny.","","Databreaches.net","","50","2012"
"February 2, 2012","VeriSign Inc.","BSO","HACK","","Reston","Virginia","","","Unknown","","VeriSign was hacked repeatedly in 2010. The hackers stole undisclosed information.  VeriSign is responsible for the integrity of web addresses ending in.com, .net, and .gov. If hackers were able to obtain certain information, it is possible that .com, .net, and .gov websites could be imitated more easily.  Hackers may be able to direct people to faked website and intercept email from federal employees or corporate executives using the .gov addresses.  VeriSign officials do not believe that the attacks breaches the servers that support the Domain Name System network, but did not reveal many details about the breach.  VeriSign offers a number of services that defend customer websites from attacks and manage website traffic.  VeriSign also researchers international cybercrime groups.  The security staff responded to the attack quickly, but the breach was not disclosed throughout the company until September 2011.","","Databreaches.net","","","2012"
"January 31, 2012","SegMark Solutions","BSO","HACK","","Fairfield","Connecticut","","","Unknown","","A former employee was able to access the Segmark Solutions computer system.  It is unclear if the former employee guessed passwords, used passwords that had not been changed, or used some other method to access the computer system.  He then used credit card information in the system to make fraudulent purchases. Damages caused a total of $7,000.  The former employee was caught after a six-month investigation and charged with second degree computer crime and illegal use of credit cards.","","Databreaches.net","","","2012"
"January 31, 2012","East Baton Rouge Acceleration Academy","EDU","UNKN","","Baton Rouge","Louisiana","","159","159","","Police stopped a high school student and discovered several sheets of papers with student names, dates of birth, and Social Security numbers in a vehicle.  It is unclear how the student obtained the printout and she is accused of using the information to file fraudulent federal income tax returns.  ","","Databreaches.net","","159","2012"
"January 31, 2012","Regions Financial Corp., Ernst & Young","BSF","PORT","","Birmingham","Alabama","","","Unknown","","The personal information of current and former Regions employees was lost in November after an auditor from Ernst & Young mailed a flash drive and decryption code. The envelope arrived with the decryption code, but no flash drive. The data included information related to 401k retirement plans.  Names, Social Security numbers, and possibly dates of birth were on the flash drive.  Regions employs about 27,000 people in 16 states.","","Databreaches.net","","","2012"
"January 30, 2012","TryMedia (TM Acquisition)","BSR","HACK","","Seattle","Washington","","12,456","12,456","TryMedia is a division of RealNetwork.  RealNetworks is located in Seattle, Washington. ","Try Media's ActiveStore application was attacked by intruders who were able to intercept and obtain the credit card information of customers.  Credit card numbers, expiration dates, security codes, addresses, email addresses, and passwords to user accounts for transactions that occurred between November 4, 2011 and December 2, 2011 were accessed.  ","","Databreaches.net","","12456","2012"
"January 29, 2012","Palos Verdes High School","EDU","HACK","","Palos Verdes","California","","","Unknown","","Three students were caught selling quiz answers to students.  It was discovered that they had stolen and copied a master key from the janitor's office.  They then used the copy of the master key to install keylogging hardware onto the computers of four teachers.  The keylogging hardware revealed passwords, which were then used to access the central files of the school network.  It is unclear what types of information the students had access to.  They used their access to electronically change their grades slightly. The master key copy was also used to access 20 paper tests before they were given.  A student who became aware of the black market for quiz materiala reported the students.  ","","Databreaches.net","","","2012"
"January 28, 2012","Naperville Unit District 203","EDU","DISC","","Naperville","Illinois","","","101 (No SSNs or financial information reported)","","The report cards of 101 high school students were accidentally sent to the person listed as their emergency contact.  A vendor made an unauthorized change to the computer program that generates report cards.  If a parent had a high school student attending the district and was listed as an emergency contact for another high school student, then they received two report cards.  Parent names were listed on the report cards of each student, but parents listed as emergency contacts mistakenly received the report cards anyway. No Social Security numbers were exposed.  Student ID numbers, schedules, and grades were exposed.","","Databreaches.net","","","2012"
"January 27, 2012","President's Challenge, Indiana University","GOV","HACK","","","Indiana","","","650,000 (Unknown number of SSNs)","","A security breach caused the personal information of 650,000 President's Challenge participants nationwide to be exposed.  Hackers may have accessed participant names, email addresses, dates of birth, and nutritional data.  People throughout Indiana University were participating in a Health IU fitness inter-campus competition.  No financial information was available to the hacker or hackers.  A small percentage and unknown number of Social Security numbers may have been available through other organizations that participate in President's Challenge programs.  It is unclear how many other organizations were affected by the President's Challenge hack.  ","","Databreaches.net","","","2012"
"January 27, 2012","Sequoia Hospital, Towers Watson","MED","DISC","","San Mateo","California","","391","391","","An employee of Towers Watson posted unspecified personal information of current and former Sequoia Hospital employees online in October of 2007.  Towers Watson is a Sequoia Hospital contractor.  The types of information that were posted were not disclosed, but full names and Social Security numbers were included.  The information remained online until December 2 of 2011.  ","","Databreaches.net","","391","2012"
"January 27, 2012","Craigslist","BSO","UNKN","","Hempstead","New York","","250","250","","More than 250 people in 30 states were victims of scams perpetrated on Craigslist.com by two New York residents.  The women posted phony Craigslist ads for nonexistent jobs and apartments to gather the personal information of victims between February of 2010 and October of 2011.  That information was then used to obtain fraudulent state income tax returns, bank loans, and credit cards.  More than $75,000 was fraudulently obtained.  Early in 2011, workers in the Buffalo office of the state Department of Taxation and Finance discovered that hundreds of state tax refunds were being claimed from only about 10 addresses in the county.  The two women were indicted by a grand jury on grand larceny and scheme to defraud charges.  The women face up to 15 years in prison if convicted.","","Databreaches.net","","250","2012"
"January 27, 2012","Windstream","BSR","INSD","","Kannapolis","North Carolina","","","Unknown","","A concerned neighbor noticed that packages were being delivered to an abandoned house. Law enforcement confronted a man who was collecting the packages and found that he had stolen old Windstream customer files and used the information to open fraudulent accounts with online retailers.  The man was an employee of Windstream and had taken paper documents from the mid to late 1990s.  A second vacant home that served as a delivery location was also found.  The former employee was charged with felony identity theft.","","Databreaches.net","","","2012"
"January 27, 2012","Bamastuff.com","BSR","HACK","","Tuscaloosa","Alabama","","","Unknown","","Bamastuff.com notified its customers that a breach in its database had been discovered.  Customer names, email addresses, billing and shipping addresses, telephone numbers, credit card information, and/or cryptographically scrambled passwords may have been exposed.  Customers who bought items between August 1, 2009 and January 16, 2012 may have been affected. Some customers have already experienced fraudulent charges.","","Databreaches.net","","","2012"
"February 6, 2012","Office of Robert S. Smith, M.D., Inc.","MED","PORT","","Atlanta","Georgia","","","17,000 (No SSNs or financial information reported)","Those with questions may call the Lab Management at 1-888-263-0388.","An October 17 office burglary resulted in the theft of a laptop.  The laptop contained patient names, dates of birth, physicians, and diagnosis information.  ","","HHS via PHIPrivacy.net","","","2012"
"February 6, 2012","Molina Healthcare of California","MED","DISC","","Long Beach","California","","","11,081 (No SSNs or financial information reported)","","An unauthorized disclosure of paper documents occurred on January 31, 2011.  The breach may have affected records that date from September 23, 2009 through October 18, 2011. No further details are available.","","HHS via PHIPrivacy.net","","","2012"
"February 6, 2012","Smile Designs","MED","STAT","","Wellington","Florida","","","1,670 (No SSNs or financial information reported)","","The theft of a computer on or aroudn December 1, 2011 resulted in the exposure of personal information.","","HHS via PHIPrivacy.net","","","2012"
"February 6, 2012","Foundation Medical Partners","MED","UNKN","","Nashua","New Hampshire","","","771 (No SSNs or financial information reported)","","A total of 771 patient records may have been exposed as a result of a breach that occurred on November 19, 2011.  No further details were disclosed.","","HHS via PHIPrivacy.net","","","2012"
"February 6, 2012","Muskogee Regional Medical Center","MED","PHYS","","Muskogee","Oklahoma","","","844 (No SSNs or financial information reported)","Patients with questions may call 1-800-722-9608 between December 2011 and March 2012.","A binder containing forms with flu test results for 2011 went missing sometime around December 5, 2011.  It contained the information of patients who received a flu test between January 1, 2011, and December 5, 2011.  patient names, internal hospital department and internal account numbers, gender, medical record numbers, dates of birth, age, dates of tests, and flu test results.  ","","HHS via PHIPrivacy.net","","","2012"
"February 6, 2012","Concentra Medical Center, Concentra Health","MED","PORT","","Springfield","Missouri","","870","870","Patients with questions may email privacyoffice@concentra.com or call 1-800-819-5571.","An office burglary resulted in the theft of an unencrypted laptop.  It contained the names, Social Security numbers, and pre-employment work-fitness tests of Concentra patients from the Springfield area.  The Concentra Springfield Medical Center will not encrypt all equipment as a result of this breach. UPDATE (4/22/2014): Concentra agreed to pay OCR (Office of Civil Rights) $1.7 million dollars for several data breaches that occured in both Texas and Missouri. The OCR found that ""Concentra previously had recognized security risks caused
 by a lack of encryption on some of its technology. However, OCR said 
steps to encrypt the technology were ""incomplete and inconsistent over 
time"".The OCR also found that "" the company did not have sufficient security management measures in place to protect patient health information"".","","HHS via PHIPrivacy.net","","870","2012"
"February 4, 2012","Triumph LLC","MED","PORT","","Raleigh","North Carolina","","","2,070 (No SSNs or financial information reported)","","A laptop with Triumph client and family member information was stolen on December 13.  The office burglary was committed by three men.  Two of them distracted the receptionist while the third entered a hallway and stole the laptop.  People in Davie, Forsyth, and Stoke counties were affected.  The laptop contained spreadsheets with names, dates of birth, medical record numbers, insurance numbers, and Medicaid numbers.  Notifications went out on February 2 after it was determined that the laptop would most likely not be recovered.","","PHIPrivacy.net","","","2012"
"February 7, 2012","Department of Child Services","GOV","PORT","","Avon","Indiana","","","Unknown","","The office burglary during the weekend of February 4 resulted in the theft of 10 encrypted laptops. The laptops had other safeguards as well as encryption codes. Additional items were stolen. The types of confidential and personal client information that were on the computers were not disclosed, nor was the possible number of people affected.  ","","Databreaches.net","","","2012"
"February 7, 2012","Valencia College","EDU","DISC","","Orlando","Florida","","","9,000 (No SSNs or financial information reported)","","An Excel spreadsheet with student names, addresses, dates of birth, and college ID's was listed online on a password-protected website.  The password protection eventually expired and anyone could access the information online.  Valencia College hired an unnamed contractor to create a custom page for prospective students to communicate with the college.  The contractor then hired an unnamed sub-contractor to work on some of the website.The breach can be linked to that unnamed sub-contractor.","","Databreaches.net","","","2012"
"February 3, 2012","Motorola Mobility, Inc.","BSR","DISC","","Libertyville","Illinois","","","100 (Unknown number of financial records and SSNs involved)","Customers who purchased a refurbished Motorola XOOM Wi-Fi tablet from Woot.com between October and December 2011 are encouraged to visit motorola.com/xoomreturn or to call Motorola Mobility Customer Support at 1-800-734-5870 (Option 1) in order to determine if their tablet is affected.","Approximately 100 out of a batch of 6,200 refurbished Motorola XOOM Wi-Fi tablets were sent to new customers without being completely wiped by Motorola.  The affected tablets were resold by Woot.com between October and December 2011.  Previous owners may have stored user names, passwords, email addresses, videos, photographs, and documents on the tablets.  There is also a possibility that any password-protected sites and applications could be accessed by people who bought the device refurbished. Any customers who purchased and returned the tablet between March and October of 2011 are eligible for two-years of paid credit monitoring services if both transactions took place at Amazon.com, Best Buy, BJ's Wholesale, eBay, Office Max, Radio Shack, Sam's Club, Staples, or a few other independent retailers.  Those users are also encouraged to change email passwords, social media passwords, and any passwords used to access sensitive applications on the tablet.  Additionally, customers who purchased the refurbished tablets and discover that there is information from a previous user may mail the device back to Motorola for free, have the device reset, and receive a $100 American Express gift card.","","Databreaches.net","","","2012"
"November 8, 2011","IQCR","BSO","INSD","","Rock Hill","South Carolina","","100","100","","An employee of IQCR wrote down names, Social Security numbers, and dates of birth from records. The records came from a gas company in Chicago and were processed by IQCR.  That information was then used to apply for credit cards.  This occurred in October of 2011.  The dishonest employee and her partner were caught after people alerted authorities about being declined for credit cards they had not requested.  Authorities discovered that the fraudulent credit requests all came from the same computer IP address and went to the same residential address. The couple face 10 years in prison per-identity stolen.  Over 100 people were affected by the breach.","","Databreaches.net","","100","2011"
"November 6, 2011","Sam's Club","BSR","INSD","","Apple Valley","Minnesota","","98","98","","A dishonest employee swiped customer credit cards after initial transactions, then processed a second transaction for cash back and pocketed the amount of the second fraudulent transaction from the cash register.  A store manager noticed the employee stealing money and reported her. A customer complaint about an unauthorized transaction then revealed the extent of the breach.  The fraudulent transaction complains date from May 25 to June 10. Store records reveal that $6,197 was stolen in this way.","","Databreaches.net","","98","2011"
"November 4, 2011","Amsterdam Hospitality Group","BSO","INSD","","New York","New York","","237","237","","An auditor for the Amsterdam Hospitality Group sold credit card information to another man for identity theft purposes. As an employee for the Amsterdam Hospitality Group, the auditor had access to the credit card account information and identifying information of people who stayed at a number of Manhattan hotels.  It is unclear which hotels were affected. Over $840,000 in fraudulent credit card purchases were made with the stolen information.","","Databreaches.net","","237","2011"
"November 4, 2011","Washington South Supervisory Union","GOV","HACK","","Northfield","Vermont","","","Unknown","","Supervisory Union notified all employees that a serious security breach on its financial computer system was discovered and that their financial information may have been compromised.  The breach was not described in detail, but employees were informed that payroll would be temporarily using paychecks.  Supervisory Union contacted all banking institutions that were involved in direct deposit and informed them that client data may have been compromised.  Employees were also encouraged to contact all banking institutions to review their financial accounts, contact their banks, change their email passwords, and avoid clicking on suspicious emails.  ","","Databreaches.net","","","2011"
"November 3, 2011","Top of the Line Marketing","BSO","INSD","","Rockville","Maryland","","1,200","1,200","","Between the summer of 2010 and February of 2011, a dishonest employee of Top of the Line Marketing passed along names, Social Security numbers, and dates of birth for the purpose of identity theft.  A police raid uncovered 42 debit cards and a list of 1,200 Maryland residents that had been distributed by the dishonest employee. Some of the information had been used to collect unemployment benefits on prepaid Visa cards. The person who was found with the fraudulent debit cards and list pleaded guilty to one count of conspiracy to commit access device fraud and one count of aggravated identity theft. He faces a maximum of five years in prison for the first count and a mandatory two-year sentence for the second.  ","","Databreaches.net","","1200","2011"
"November 2, 2011","Maloney Properties, Inc.","BSO","PORT","","Wellesley","Massachusetts","","","621 (Unknown number of SSNs involved)","","The October 15 theft of a laptop resulted in the exposure of unencrypted personal information.  Residential housing data was on the laptop. This included names, the full Social Security numbers of some people, and the last four digits of most.  UPDATE (3/26/2012): Maloney Properties, Inc. agreed to pay $15,000 in civil penalties.  The property management firm must also ensure that personal information is not unnecessarily stored on portable devices, ensure that all personal information stored on portable devices is properly encrypted, ensure that all portable devices containing personal information are stored in a secure location, and effectively train employees on the policies and procedures with respect to maintaining the security of personal information. Up to 621 people were affected by the car theft of an employee's unencrypted laptop.","","Databreaches.net","","","2011"
"November 2, 2011","University of Alabama","EDU","DISC","","Tuscaloosa","Alabama","","","Unknown","","On October 26, students who had at least one failing midterm grade during the Fall 2011 semester received an email from the office of the assistant dean of students.  The email, which informed students of their grade, was not blind copied.  Each email recipient could see the email addresses of other students who received the email.  No other information was exposed.","","Databreaches.net","","","2011"
"November 2, 2011","Aaron's","BSR","STAT","","Fresno","California","","1,008","1,008","","On September 26, Aaron's became aware of an office burglary that resulted in the theft of computers, TVs, electronic gaming devices, and other goods. Customer names and Social Security numbers were on one of the computers.  At least 1,008 New Hampshire residents were affected, but the total number of affected people nationwide was not revealed.","","Databreaches.net","","1008","2011"
"November 2, 2011","MetroLux, Metropolitan Theatres","BSO","HACK","","Loveland","Colorado","","1,180","1,180","Metropolitan Theatres is headquartered in Los Angeles, California.","The parent company of MetroLux, Metropolitan Theatres, reported an external breach of the local theater's computer system.  Someone attacked the data transmission system and stole customer financial information via computer.  The issue was first noticed on October 21.  The breach was analyzed and new servers were installed. Though the system was confirmed to have been compromised, not all of the 1,180 people who reported fraud had used their credit or debit cards there.","","Databreaches.net","","1180","2011"
"February 9, 2012","St. Elizabeth's Medical Center","MED","PHYS","","Boston","Massachusetts","","6,831","6,831","","St. Elizabeth's Medical Center became aware of sensitive paperwork that was found exposed miles away from the medical center's Brighton campus.  St. Elizabeth's immediately sent someone to recover the documents.  It is unclear how the documents ended up in the area and a vendor may have been the source of the breach.  The types of information exposed were not revealed.UPDATE (4/09/12): The total number of patients who were notified is 6,831.  The documents contained billing information such as patient names, hospital account numbers, credit card numbers and security codes.  The breach was discovered when someone saw the credit card payment receipts of at least five patients flying through a field.  There is no evidence that more than five patients were affected, however, it is unclear how those receipts escaped destruction.","","PHIPrivacy.net","","6831","2012"
"February 9, 2012","Cardinal Fitness","BSO","PHYS","","Indianapolis","Indiana","","","Unknown","","Receipts, credit card numbers, addresses, phone numbers, and other information were found in an easily accessible dumpster that sat outside the closed fitness center.  A local news station was contacted and followed up on the story.  The dumpster was removed, but it is unclear if the documents were properly disposed. The news story received attention from the attorney general's office and Cardinal Fitness may now face a fine of up to $305,000 for dumping the information.","","Databreaches.net","","","2012"
"February 10, 2012","Lakeview Medical Center","MED","PORT","","Rice Lake","Wisconsin","","500","500","","More than 500 patients of Lakeview Medical Center homecare and hospice programs had their personal information exposed by the theft of a laptop.  The laptop was stolen from a car belonging to a Lakeview nurse.  It contained names, Social Security numbers, dates of birth, home addresses, medicare ID numbers, and diagnostic information. It is unclear when the laptop was stolen, but the nurse who was involved no longer works for Lakeview.","","PHIPrivacy.net","","500","2012"
"February 10, 2012","C.D. Peacock","BSR","HACK","","Chicago","Illinois","","","Unknown","","C.D. Peacock is suing BridgePoint Technologies for faulty IT services.  BridgePoint Technologies was hired in August 2009 and in March of 2010, a breach of C.D. Peacock's virtual private network (VPN) was discovered.  The private network was designed to give remote users access to a centralized network. C.D. Peacock was allegedly advised by BridgePoint Technologies to go around the VPN since it could not be fixed.  Though BridgePoint Technologies allegedly said that this move would be safe, C.D. Peacock experienced a serious security breach almost immediately.  Hackers installed malicious software on its credit card processing system and other network computers in early April 2010.  According to the lawsuit, this allowed hackers to ""access the confidential personal data and financial information of"" C.D. Peacock customers.  The stolen data was transfered to the hackers' remote system.  The breach was discovered in August of 2010.  BridgePoint Technologies claimed that it had not received a copy of the lawsuit as of February 10, 2012. ","","Databreaches.net","","","2012"
"February 8, 2012","West Virginia Chiefs of Police Association, Alabama Department of Public Safety, Texas Department of Public Safety, City of Mobile Police Department, Texas Police Chiefs Association, Texas Police Association","BSR","HACK","","","West Virginia","","46,000","46,943 (46,000 SSNs reported)","No city is listed.  Board members, members, and organization officers live throughout West Virginia. People in Mobile, Alabama and Texas were also affected.","A hacker obtained and revealed 156 home addresses, phone numbers, cell phone numbers, email addresses, and usernames of police officers associated with the West Virginia Chiefs of Police Association. Retired police chiefs, and every current police chief in West Virginia had their information exposed. The hacker was associated with Anonymous.UPDATE (08/24/2012): A hacker associated with the attack on West Virginia Chiefs of Police Association and several other law enforcement associations was caught and sentenced to 27 months in federal prison.  He was also ordered to pay $14,062.17 in restitution.  Alabama Department of Public Safety spreadsheets with information on sex crimes and a database listing descriptions of offenders' cars were posted online. Over 46,000 citizens in the state of Alabama may have had their names, Social Security numbers, license plate numbers, dates of birth, phone numbers, addresses, and criminal records accessed by hackers who attacked the City of Mobile Police Department. A total of 787 police officer names, usernames, plain text passwords, addresses, and other agency information from The Texas Police Association was posted online.  The Wisconsin Chiefs of Police Association, the Texas Department of Public Safety, the Dallas Police Department, and the Texas Police Chiefs Association also experienced hack attacks.","","Databreaches.net","","46000","2012"
"February 8, 2012","Dallas Police Department","BSO","HACK","","Dallas","Texas","","","23 (No SSNs or financial information reported)","","Hackers targeted the Dallas Police Department in response to an officer being placed on leave after crashing his vehicle while intoxicated.  A total of 21 full names with employee ID numbers and hire dates, as well as 23 user IDs, email addresses, and passwords were posted online by the hackers.","","Databreaches.net","","","2012"
"February 8, 2012","Wisconsin Chiefs of Police Association","BSO","HACK","","","Wisconsin","","","540 (No SSNs or financial information reported)","No location is listed.  Members from across Wisconsin were affected.  The contact information city is listed as Shawano, Wisconsin.","Three hackers posted an administrative login and password on a public website. A fourth hacker released three logins and password combinations and 540 email addresses. The fourth hacker did not work with the other three hackers, but posted the information on the same day.","","Databreaches.net","","","2012"
"January 9, 2012","Employ Bridge (Staffing Solutions), Tempo Real Estate Corporation","BSO","PHYS","","Atlanta","Georgia","","","Unknown","","Thousands of personal documents were found in a recycling dumpster.  The documents likely contained employment information such as full names, addresses, phone numbers, email addresses, and work histories. They were taken from an office in Alpharetta without the company's knowledge or permission.  A landlord with Temp Real Estate Corporation sent a cleaning crew to clean out the office after incorrectly believing Employ Bridge's lease had expired.  ","","Media","","","2012"
"January 6, 2012","Spotsylvania County","EDU","DISC","","Spotsylvania","Virginia","","4,289","4,289","","An employee discovered that it was possible to access current and former employee W-2 forms online via a Google search.  The W-2 form contained employee name, Social Security number, address, earnings, and taxes paid for 2009 and 2010.  The discovery was made on December 23 of 2011.  ","","Media","","4289","2012"
"February 15, 2012","Doshi Diagnostic Center","MED","PHYS","","New York","New York","","","Unknown","","Sensitive documents were placed in public trash bags.  The bags were opened and the documents were found scattered across a sidewalk.  Confidential patient records which included names, Social Security numbers, unemployment compensation records, copies of benefits cards, and other patient personal information were exposed. Patients dating back to 2006 were affected.  ","","PHIPrivacy.net","","","2012"
